url_length,has_https,has_at_symbol,has_hyphen,suspicious_word,has_ip,dot_count,digit_count,special_char_count,is_shortened,slash_count,domain_length,label
171,0,0,1,0,0,3,6,18,0,1,20,1
45,0,0,0,0,0,2,0,3,0,2,10,0
54,0,0,0,0,0,2,0,0,0,3,30,0
68,0,0,1,0,0,2,0,2,0,3,17,0
40,0,0,1,0,0,1,5,0,0,2,12,0
51,0,0,0,0,0,2,0,0,1,5,19,1
15,0,0,0,0,0,1,0,0,0,1,14,0
87,0,0,1,1,0,5,2,5,0,8,9,1
94,0,0,0,1,0,2,19,4,0,8,25,1
56,0,0,0,0,0,2,0,2,0,2,21,0
22,0,0,0,0,0,2,0,0,0,1,14,0
371,0,0,1,1,0,3,51,13,0,3,45,1
371,0,0,1,1,0,3,52,13,0,3,45,1
22,0,0,0,0,0,1,0,0,0,0,22,1
83,0,0,1,0,0,3,4,0,0,7,29,0
57,0,0,1,0,0,2,0,0,0,6,12,1
37,0,0,0,0,0,1,0,0,0,4,8,0
371,0,0,1,1,0,3,54,12,0,3,45,1
67,0,0,1,1,0,4,0,2,0,6,13,1
26,0,0,0,0,1,4,14,0,0,1,15,1
26,0,0,0,0,1,4,16,0,0,1,19,1
20,0,0,0,0,0,1,0,0,0,2,9,0
17,0,0,0,0,0,1,0,0,0,1,16,0
96,0,0,1,1,0,7,2,3,0,11,10,1
36,0,0,0,0,0,1,0,2,0,1,11,0
40,0,0,0,0,0,3,2,2,0,2,19,1
62,0,0,0,0,0,2,17,5,0,2,10,0
72,0,0,0,0,0,4,4,3,0,8,28,1
31,0,0,0,0,0,2,0,1,0,1,13,1
75,0,0,0,1,0,6,1,4,0,3,45,1
34,0,0,0,0,0,1,1,0,0,3,9,0
63,0,0,0,1,0,2,0,3,0,3,16,0
43,0,0,1,0,0,2,1,0,0,3,12,0
46,0,0,0,0,0,4,0,0,0,2,22,0
40,0,0,0,0,0,3,2,2,0,2,19,1
32,0,0,1,0,0,1,1,0,0,2,11,0
44,0,0,1,0,0,1,3,0,0,4,10,1
36,0,0,1,0,0,1,0,0,0,1,14,0
65,0,0,1,0,0,3,6,0,1,3,22,0
47,0,0,1,0,0,2,0,3,0,3,14,1
30,0,0,0,0,0,2,0,0,0,2,14,1
40,0,0,0,0,0,2,9,0,0,2,20,0
20,0,0,0,0,0,1,0,0,0,1,14,1
84,0,0,1,0,0,3,4,0,0,7,29,0
60,0,0,1,0,0,2,0,0,0,6,9,1
30,0,0,0,0,0,2,0,1,0,2,16,0
59,0,0,1,0,0,3,6,0,1,3,26,0
35,0,0,0,0,0,2,0,0,0,4,14,0
23,0,0,0,0,0,1,0,0,0,2,7,0
38,0,0,1,0,0,1,0,0,0,2,20,0
44,0,0,0,0,0,2,0,3,0,2,16,0
287,0,0,1,1,0,2,58,3,0,2,20,1
70,0,0,1,0,0,1,6,0,0,3,16,0
